Id;Label1;Type;Centrality_Score;Label;section;q_p;sec_level;css_qp;pims_qp
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ed448;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;ffdhe4096 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;ffdhe4096 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / ed25519;ffdhe4096 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;ffdhe4096 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;ffdhe4096 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ffdhe4096 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / ed448;ffdhe4096 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ffdhe4096 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;secp521r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_secp521r1;ecdh_secp521r1;Primitive;24;ecdh_secp521r1;PRIMITIVE;0.25;256;;
secp521r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;secp521r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / ed25519;secp521r1 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;secp521r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;secp521r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;secp521r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / ed448;secp521r1 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
secp521r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;secp521r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ed448;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;secp521r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;secp521r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;secp521r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / ed25519;secp521r1 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;secp521r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;secp521r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;secp521r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / ed448;secp521r1 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
secp521r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;secp521r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;secp384r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_secp384r1;ecdh_secp384r1;Primitive;24;ecdh_secp384r1;PRIMITIVE;0.5;192;;
secp384r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;secp384r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / ed25519;secp384r1 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;secp384r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;secp384r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;secp384r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / ed448;secp384r1 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
secp384r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;secp384r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ed448;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;secp384r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;secp384r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;secp384r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / ed25519;secp384r1 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;secp384r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;secp384r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;secp384r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / ed448;secp384r1 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
secp384r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;secp384r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ecdh_x448 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_x448;ecdh_x448;Primitive;24;ecdh_x448;PRIMITIVE;0.5;224;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ecdh_x448 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / ed25519;ecdh_x448 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ecdh_x448 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ecdh_x448 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ecdh_x448 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / ed448;ecdh_x448 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;ecdh_x448 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ed448;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;ecdh_x448 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;ecdh_x448 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;ecdh_x448 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / ed25519;ecdh_x448 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;ecdh_x448 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;ecdh_x448 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ecdh_x448 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / ed448;ecdh_x448 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ecdh_x448 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ecdh_x448 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ffdhe6144 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe6144_supported;ffdhe6144;Primitive;24;ffdhe6144;PRIMITIVE;0.5;192;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ffdhe6144 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / ed25519;ffdhe6144 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ffdhe6144 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ffdhe6144 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ffdhe6144 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / ed448;ffdhe6144 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;ffdhe6144 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ed448;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;ffdhe6144 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;ffdhe6144 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;ffdhe6144 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / ed25519;ffdhe6144 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;ffdhe6144 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;ffdhe6144 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ffdhe6144 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / ed448;ffdhe6144 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ffdhe6144 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ffdhe6144 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
