Id;Label1;Type;Centrality_Score;Label;section;q_p;sec_level;css_qp;pims_qp
ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe2048 / TLS_AES_256_GCM_SHA384 / ed448;ffdhe2048 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_x25519;ecdh_x25519;Primitive;24;ecdh_x25519;PRIMITIVE;0.75;128;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed25519;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed448;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
